,name,lat,long
268,Veigné,47.28556,0.7407900000000001
269,Vay,47.55459,-1.70172
270,Vauhallan,48.73354,2.20277
271,Varennes-le-Grand,46.71868,4.86872
272,Vaison-la-Romaine,44.23896,5.07461
273,Triaize,46.39265,-1.19785
274,Trélissac,45.19619,0.78256
275,Trégunc,47.85557,-3.85271
276,Tourlaville,49.63829,-1.5663900000000002
277,Toulouges,42.67077,2.83235
278,Toulon,43.12442,5.92836
279,Thorigné,46.29149,-0.25122
280,Thiverny,49.2518,2.43609
281,Tence,45.11423,4.29097
282,Tenay,45.91884,5.50797
283,Tauxigny,47.21337,0.83479
284,Tarare,45.89614,4.433
285,Suresnes,48.87143,2.22929
286,Sully-sur-Loire,47.76372,2.37238
287,Stosswihr,48.05389,7.09964
288,Spycker,50.96915,2.32184
289,Soual,43.55622,2.11677
290,Sénas,43.74375,5.078
291,Selles-sur-Cher,47.27904,1.55387
292,Seingbouse,49.11341,6.83186
293,Schirmeck,48.48313,7.22004
294,Savonnières,47.34769,0.54961
295,Saubens,43.47779,1.35446
296,Sarcelles,48.99739,2.37821
297,Salon-de-Provence,43.64229,5.09478
298,Saint-Rémy-lès-Chevreuse,48.70708,2.07692
299,Saint-Rémy-de-Provence,43.78848,4.83167
300,Saint-Priest-Taurion,45.88659,1.39989
301,Saint-Pierre-de-Varengeville,49.5024,0.9311800000000001
302,Saint-Pardoux-la-Rivière,45.4944,0.7458800000000001
303,Saint-Palais,43.32828,-1.03397
304,Saint-Pabu,48.56495,-4.60034
305,Saint-Nicolas-d'Aliermont,49.87857,1.22486
306,Saint-Michel-le-Cloucq,46.48482,-0.7534400000000001
307,Saint-Martin-le-Beau,47.35566,0.9095300000000001
308,Saint-Martin-d'Hères,45.1787,5.76281
309,Saint-Mars-du-Désert,47.3645,-1.4101
310,Saint-Gervais-en-Belin,47.87759,0.2177
311,Saint-Germain,48.25736,4.03264
312,Saint-Fargeau-Ponthierry,48.55713,2.5284
313,Saint-Étienne-de-Chigny,47.38333,0.5333300000000001
314,Saint-Étienne,45.43389,4.39
315,Sainte-Marie-de-Gosse,43.55,-0.23333
316,Saint-Éloy-de-Gy,47.15552,2.34267
317,Sainte-Agnès,43.80054,7.4615
318,Saint-Denis-lès-Bourg,46.20217,5.18924
319,Saint-Cyr-sur-le-Rhône,45.51585,4.8525
320,Saint-Claude,46.38679,5.86473
321,Saint-Bonnet-le-Château,45.42402,4.06706
322,Saint-Aubin-sur-Mer,49.32787,-0.38696
323,Saint-Aubin-du-Cormier,48.25967,-1.3998300000000001
324,Saint-Amans-Valtoret,43.48171,2.49074
325,Sainghin-en-Weppes,50.56407,2.89804
326,Rousset,43.48307,5.6195900000000005
327,Rougiers,43.39233,5.85112
328,Rougé,47.78291,-1.44782
329,Rochetaillée-sur-Saône,45.85,4.85
330,Rive-de-Gier,45.52755,4.61589
331,Rilhac-Rancon,45.89813,1.3179
332,Richebourg,50.58333,2.73333
333,Revigny-sur-Ornain,48.83016,4.985580000000001
334,Renazé,47.79299,-1.05709
335,Reiningue,47.75215,7.23327
336,Quingey,47.1025,5.88312
337,Québriac,48.34504,-1.82735
338,Pulversheim,47.83753,7.30119
339,Préaux,49.49136,1.21583
340,Prades-le-Lez,43.6993,3.86504
341,Pornic,47.11581,-2.10331
342,Pontenx-les-Forges,44.24129,-1.12096
343,Pont-de-Salars,44.28134,2.72743
344,Pont-Aven,47.85536,-3.74799
345,Pomponne,48.8813,2.68232
346,Polignac,45.0709,3.86031
347,Poix-de-Picardie,49.78333,1.98333
348,Pleurtuit,48.579390000000004,-2.05984
349,Pleumeur-Gautier,48.80234,-3.1573700000000002
350,Plessala,48.27642,-2.61876
351,Pîtres,49.31667,1.23333
352,Pinon,49.48916,3.44703
353,Pfastatt,47.76915,7.30295
354,Pézilla-la-Rivière,42.69488,2.77018
355,Peyrilhac,45.95067,1.13403
356,Peyriac-de-Mer,43.08715,2.95725
357,Perros-Guirec,48.81411,-3.4437
358,Parigné-le-Pôlin,47.85041,0.10783000000000001
359,Outarville,48.21393,2.02198
360,Oursbelille,43.28688,0.036980000000000006
361,Ouistreham,49.27566,-0.2591
362,Ottrott,48.45642,7.42556
363,Orgeval,48.92162,1.9779
364,Olmeto,41.71724,8.91783
365,Betschdorf,48.89825,7.90196
366,Nouvion-sur-Meuse,49.69949,4.79562
367,Nœux-les-Mines,50.48333,2.66667
368,Niedernai,48.45101,7.51635
369,Moussac,43.98244,4.22863
370,Mortagne-au-Perche,48.52018,0.54734
371,Mormant,48.60901,2.89025
372,Moreuil,49.77457,2.48273
373,Moréac,47.91931,-2.82159
374,Montesquiu d'Albera,42.51798,2.8824300000000003
375,Montauban,44.01759,1.3542
376,Montamisé,46.62153,0.42483000000000004
377,Monestiés,44.07105,2.09677
378,Mions,45.66302,4.95292
379,Millery,45.63232,4.78207
380,Messac,47.8245,-1.80892
381,Mercury,45.67452,6.33688
382,Mellecey,46.81084,4.72822
383,Mehun-sur-Yèvre,47.13782,2.21105
384,Mazé,47.4561,-0.27318000000000003
385,Mazargues,43.24622,5.39788
386,Margon,48.33568,0.8345400000000001
387,Margny-lès-Compiègne,49.42559,2.81806
388,Margency,49.0,2.3
389,Lugrin,46.40208,6.65283
390,Loury,47.99944,2.08474
391,Lorgues,43.49325,6.3615
392,Lopérec,48.27749,-4.04805
393,Lons-le-Saunier,46.67535,5.55575
394,Longvic,47.28754,5.06341
395,Lompret,50.66931,2.98968
396,Lombez,43.47543,0.91039
397,Lit-et-Mixe,44.03242,-1.2568700000000002
398,Liancourt,49.33034,2.46595
399,Leyme,44.78537,1.9004500000000002
400,Lèves,48.47065,1.48194
401,Le Touquet-Paris-Plage,50.52432,1.5857100000000002
402,Lessay,49.21703,-1.53089
403,Lésigny,48.74374,2.61518
404,Les Clayes-sous-Bois,48.82206,1.98677
405,Le Poujol-sur-Orb,43.57954,3.06044
406,Le Pin-en-Mauges,47.25357,-0.89917
407,Le Malzieu-Ville,44.8556,3.33013
408,Le Luc,43.39453,6.31253
409,Le Haillan,44.87161,-0.67691
410,Le Blanc-Mesnil,48.93872,2.46138
411,La Voulte-sur-Rhône,44.79958,4.77925
412,Lavans-lès-Saint-Claude,46.38484,5.78172
413,Lautenbachzell,47.94124,7.14643
414,Laure-Minervois,43.27136,2.52008
415,La Séauve-sur-Semène,45.29554,4.25023
416,La Roche-Vineuse,46.34524,4.72023
417,Larajasse,45.61399,4.50113
418,Langres,47.86263,5.33308
419,Landeronde,46.65794,-1.57117
420,La Mulatière,45.72818,4.81213
421,La Glacerie,49.60517,-1.5818500000000002
422,La Force,44.86872,0.3753
423,La Ferrière-aux-Étangs,48.66227,-0.5195500000000001
424,La Coquille,45.54216,0.9762700000000001
425,La Chapelle-Saint-Luc,48.31734,4.03988
426,La Chapelle-du-Genêt,47.18203,-1.01857
427,La Boissière-des-Landes,46.56436,-1.45948
428,Kernilis,48.57128,-4.41952
429,Juillan,43.20072,0.023260000000000003
430,Jougne,46.76291,6.38838
431,Jenlain,50.31164,3.62872
432,Issoire,45.54422,3.24901
433,Houdemont,48.64407,6.17579
434,Hinges,50.56674,2.6216
435,Heuringhem,50.69638,2.28333
436,Henvic,48.63244,-3.92727
437,Haveluy,50.35289,3.40389
438,Hautefort,45.25915,1.14839
439,Hangenbieten,48.55985,7.61464
440,Guiclan,48.55065,-3.96177
441,Grosseto-Prugna,41.87097,8.96403
442,Gros-Réderching,49.06835,7.21914
443,Grignols,44.38788,-0.043820000000000005
444,Gièvres,47.27847,1.6694300000000002
445,Genech,50.53122,3.21651
446,Gargas,43.90196,5.35814
447,Ganges,43.93419,3.70797
448,Fuveau,43.45578,5.56149
449,Furiani,42.65847,9.41446
450,Froideconche,47.82121,6.41523
451,Frévent,50.27608,2.2872500000000002
452,Francheleins,46.0744,4.8092
453,Foucarmont,49.84682,1.5689899999999999
454,Fontaines,46.84905,4.77036
455,Flassans-sur-Issole,43.36856,6.22154
456,Figeac,44.60894,2.03155
457,Fellering,47.89659,6.98552
458,Falaise,48.89217,-0.19527000000000003
459,Eyzin-Pinet,45.47377,4.99845
460,Évenos,43.16365,5.84628
461,Étival-Clairefontaine,48.36519,6.86118
462,Équihen-Plage,50.67557,1.57225
463,Épehy,50.0,3.13333
464,Emmerin,50.59475,3.00124
465,Écaillon,50.35034,3.21664
466,Durrenbach,48.89681,7.76769
467,Dirac,45.6043,0.24755000000000002
468,Denicé,46.00158,4.64555
469,Crouy-en-Thelle,49.21487,2.32146
470,Crissey,46.81652,4.88185
471,Craon,47.84811,-0.9500200000000001
472,Coulombs,48.65253,1.5464600000000002
473,Coulogne,50.92463,1.88137
474,Corps-Nuds,47.97812,-1.5872700000000002
475,Coron,47.12763,-0.6470300000000001
476,Corneilhan,43.39962,3.19238
477,Conquereuil,47.62486,-1.75112
478,Coincy,49.16036,3.42202
479,Cognac-la-Forêt,45.83328,1.00989
480,Clisson,47.0871,-1.28297
481,Clary,50.07789,3.39943
482,Chouzé-sur-Loire,47.23673,0.12364000000000001
483,Chazey-sur-Ain,45.893,5.25352
484,Chaussin,46.966120000000004,5.40791
485,Château-Renard,47.93333,2.93333
486,Chassieu,45.74584,4.97088
487,Charbuy,47.82282,3.46617
488,Chapet,48.96667,1.9333300000000002
489,Chantenay-Saint-Imbert,46.73333,3.18333
490,Champs-sur-Tarentaine-Marchal,45.4,2.5666700000000002
491,Champfleur,48.38694,0.12725
492,Chamboulive,45.43215,1.7044100000000002
493,Châlonvillars,47.64055,6.78407
494,Cérilly,46.61791,2.8208
495,Cazes-Mondenard,44.22726,1.2018
496,Cazères,43.20718,1.08578
497,Caudry,50.1249,3.41186
498,Caudan,47.80995,-3.34255
499,Capbreton,43.64238,-1.43123
500,Cadillac,44.63641,-0.31855
501,Buxy,46.71369,4.70427
502,Buxières-les-Mines,46.46807,2.95994
503,Bussac-sur-Charente,45.78333,-0.6333300000000001
504,Bully-les-Mines,50.4438,2.72703
505,Bugeat,45.59809,1.92727
506,Brouckerque,50.95476,2.29378
507,Bouvignies,50.43627,3.24361
508,Boutiers-Saint-Trojan,45.71297,-0.29912
509,Boussy-Saint-Antoine,48.69101,2.5306
510,Bourg-Achard,49.35322,0.8162300000000001
511,Bourbriac,48.47511,-3.18745
512,Bouray-sur-Juine,48.51981,2.30001
513,Boujan-sur-Libron,43.37082,3.24749
514,Bouffémont,49.04377,2.29796
515,Bornel,49.1982,2.20912
516,Bon-Encontre,44.186,0.67134
517,Boëge,46.20711,6.40428
518,Bierne,50.96232,2.40963
519,Bergholtz,47.9167,7.24651
520,Berck-Plage,50.40704,1.56446
521,Bénouville,49.24151,-0.28246000000000004
522,Beauvais,49.43333,2.08333
523,Beaune-la-Rolande,48.07124,2.4314
